,fecha,producto,categoria,cantidad,precio_unitario,total,metodo_pago,es_outlier,cantidad_log
37,2024-04-09,Jamón de pavo,Embutidos,1,3.2,3.2,Efectivo,False,0.6931471805599453
38,2023-07-29,Refresco 2L,Bebidas,3,1.1,3.3,Efectivo,False,1.3862943611198906
39,2024-08-31,Yogurt natural,Lácteos,3,0.9,2.7,Efectivo,False,1.3862943611198906
40,2024-05-15,Carne molida,Carnes,1,5.8,5.8,Efectivo,False,0.6931471805599453
41,2023-12-30,Pasta de Tomate,Enlatados,8,0.75,6.0,Tarjeta crédito,True,2.1972245773362196
42,2023-04-12,Leche entera,Lácteos,1,1.2,1.2,Transferencia,False,0.6931471805599453
43,2024-11-30,Pollo entero,Carnes,1,4.5,4.5,Tarjeta débito,False,0.6931471805599453
45,2024-01-04,Refresco 2L,Bebidas,6,1.1,6.6,Tarjeta crédito,False,1.9459101490553132
46,2024-03-06,Leche entera,Lácteos,1,1.2,1.2,Efectivo,False,0.6931471805599453
49,2024-06-15,Helado familiar,Lácteos,1,4.0,4.0,Tarjeta crédito,False,0.6931471805599453
50,2024-04-10,Refresco 2L,Bebidas,3,1.1,3.3,Tarjeta débito,False,1.3862943611198906
52,2023-04-22,Leche entera,Lácteos,4,1.2,4.8,Efectivo,False,1.6094379124341003
53,2023-07-06,Yogurt natural,Lácteos,3,0.9,2.7,Tarjeta débito,False,1.3862943611198906
54,2024-11-16,Pollo entero,Carnes,1,4.5,4.5,Tarjeta crédito,False,0.6931471805599453
55,2024-02-22,Bolsas plásticas,Descartables,7,0.1,0.7,Efectivo,False,2.0794415416798357
56,2024-01-15,Refresco 2L,Bebidas,4,1.1,4.4,Tarjeta débito,False,1.6094379124341003
58,2023-08-29,Helado familiar,Lácteos,3,4.0,12.0,QR,False,1.3862943611198906
60,2024-03-16,Jamón de pavo,Embutidos,1,3.2,3.2,Tarjeta crédito,False,0.6931471805599453
61,2023-02-08,Pasta de Tomate,Enlatados,4,0.75,3.0,Tarjeta débito,False,1.6094379124341003
62,2024-08-27,Carne molida,Carnes,1,5.8,5.8,Tarjeta débito,False,0.6931471805599453
63,2024-01-23,Pasta de Tomate,Enlatados,3,0.75,2.25,Efectivo,False,1.3862943611198906
64,2023-04-22,Papas precocinadas,Congelados,3,2.3,6.9,Tarjeta crédito,False,1.3862943611198906
65,2023-09-30,Carne molida,Carnes,2,5.8,11.6,QR,False,1.0986122886681098
66,2023-03-29,Bolsas plásticas,Descartables,7,0.1,0.7,Transferencia,False,2.0794415416798357
67,2024-01-16,Pasta de Tomate,Enlatados,4,0.75,3.0,Tarjeta débito,False,1.6094379124341003
68,2023-07-09,Leche entera,Lácteos,3,1.2,3.6,Tarjeta débito,False,1.3862943611198906
69,2023-12-16,Bolsas plásticas,Descartables,5,0.1,0.5,Tarjeta crédito,False,1.791759469228055
70,2024-06-22,Carne molida,Carnes,2,5.8,11.6,Tarjeta débito,False,1.0986122886681098
71,2024-06-15,Bolsas plásticas,Descartables,11,0.1,1.1,Efectivo,False,2.4849066497880004
72,2023-11-29,Yogurt natural,Lácteos,2,0.9,1.8,Tarjeta débito,False,1.0986122886681098
75,2024-01-06,Bolsas plásticas,Descartables,7,0.1,0.7,Efectivo,False,2.0794415416798357
77,2024-09-01,Leche entera,Lácteos,2,1.2,2.4,Transferencia,False,1.0986122886681098
80,2023-08-28,Pasta de Tomate,Enlatados,6,0.75,4.5,Tarjeta débito,False,1.9459101490553132
81,2023-02-09,Papas precocinadas,Congelados,1,2.3,2.3,Tarjeta débito,False,0.6931471805599453
84,2023-07-27,Pollo entero,Carnes,1,4.5,4.5,Tarjeta crédito,False,0.6931471805599453
85,2024-04-20,Bolsas plásticas,Descartables,7,0.1,0.7,Efectivo,False,2.0794415416798357
86,2024-05-21,Refresco 2L,Bebidas,1,1.1,1.1,Tarjeta crédito,False,0.6931471805599453
87,2024-09-05,Leche entera,Lácteos,4,1.2,4.8,Tarjeta débito,False,1.6094379124341003
89,2024-10-18,Bolsas plásticas,Descartables,7,0.1,0.7,QR,False,2.0794415416798357
90,2023-12-13,Refresco 2L,Bebidas,3,1.1,3.3,Tarjeta débito,False,1.3862943611198906
91,2023-08-12,Refresco 2L,Bebidas,7,1.1,7.7,Transferencia,False,2.0794415416798357
92,2023-10-21,Bolsas plásticas,Descartables,11,0.1,1.1,Transferencia,False,2.4849066497880004
93,2023-07-31,Pollo entero,Carnes,2,4.5,9.0,Tarjeta crédito,False,1.0986122886681098
94,2024-11-29,Helado familiar,Lácteos,1,4.0,4.0,Tarjeta crédito,False,0.6931471805599453
95,2024-11-09,Jamón de pavo,Embutidos,1,3.2,3.2,Transferencia,False,0.6931471805599453
96,2023-08-14,Helado familiar,Lácteos,1,4.0,4.0,Tarjeta débito,False,0.6931471805599453
98,2024-06-06,Helado familiar,Lácteos,1,4.0,4.0,QR,False,0.6931471805599453
99,2024-01-15,Bolsas plásticas,Descartables,8,0.1,0.8,Efectivo,False,2.1972245773362196
100,2024-03-30,Carne molida,Carnes,1,5.8,5.8,Tarjeta crédito,False,0.6931471805599453
101,2023-07-08,Leche entera,Lácteos,1,1.2,1.2,QR,False,0.6931471805599453
102,2023-05-30,Papas precocinadas,Congelados,2,2.3,4.6,Tarjeta débito,False,1.0986122886681098
103,2024-07-30,Refresco 2L,Bebidas,4,1.1,4.4,Tarjeta crédito,False,1.6094379124341003
104,2023-10-31,Refresco 2L,Bebidas,5,1.1,5.5,Tarjeta débito,False,1.791759469228055
105,2024-06-06,Carne molida,Carnes,1,5.8,5.8,Efectivo,False,0.6931471805599453
106,2023-03-14,Pasta de Tomate,Enlatados,4,0.75,3.0,Transferencia,False,1.6094379124341003
108,2024-05-29,Helado familiar,Lácteos,1,4.0,4.0,Efectivo,False,0.6931471805599453
109,2023-11-15,Pasta de Tomate,Enlatados,2,0.75,1.5,QR,False,1.0986122886681098
110,2023-12-02,Pasta de Tomate,Enlatados,5,0.75,3.75,Efectivo,False,1.791759469228055
111,2023-06-30,Pollo entero,Carnes,1,4.5,4.5,Tarjeta débito,False,0.6931471805599453
112,2023-09-14,Yogurt natural,Lácteos,8,0.9,7.2,QR,True,2.1972245773362196
113,2024-08-17,Leche entera,Lácteos,3,1.2,3.6,Transferencia,False,1.3862943611198906
115,2024-09-17,Bolsas plásticas,Descartables,6,0.1,0.6,Tarjeta débito,False,1.9459101490553132
116,2024-10-21,Bolsas plásticas,Descartables,8,0.1,0.8,Tarjeta débito,False,2.1972245773362196
117,2023-06-29,Yogurt natural,Lácteos,3,0.9,2.7,Efectivo,False,1.3862943611198906
118,2024-03-30,Bolsas plásticas,Descartables,13,0.1,1.3,Tarjeta débito,False,2.6390573296152584
119,2024-01-27,Bolsas plásticas,Descartables,2,0.1,0.2,QR,False,1.0986122886681098
120,2023-10-16,Carne molida,Carnes,1,5.8,5.8,Efectivo,False,0.6931471805599453
121,2023-09-30,Carne molida,Carnes,3,5.8,17.4,Tarjeta débito,False,1.3862943611198906
122,2023-12-06,Leche entera,Lácteos,2,1.2,2.4,QR,False,1.0986122886681098
124,2023-07-15,Yogurt natural,Lácteos,1,0.9,0.9,Efectivo,False,0.6931471805599453
125,2024-05-04,Refresco 2L,Bebidas,1,1.1,1.1,Efectivo,False,0.6931471805599453
126,2024-02-10,Pollo entero,Carnes,1,4.5,4.5,Transferencia,False,0.6931471805599453
127,2023-11-04,Carne molida,Carnes,1,5.8,5.8,Efectivo,False,0.6931471805599453
128,2024-07-05,Pollo entero,Carnes,1,4.5,4.5,Efectivo,False,0.6931471805599453
129,2023-10-14,Pollo entero,Carnes,1,4.5,4.5,QR,False,0.6931471805599453
130,2024-04-16,Pollo entero,Carnes,1,4.5,4.5,Efectivo,False,0.6931471805599453
131,2023-06-11,Yogurt natural,Lácteos,2,0.9,1.8,QR,False,1.0986122886681098
132,2023-12-15,Pollo entero,Carnes,1,4.5,4.5,QR,False,0.6931471805599453
133,2023-06-17,Carne molida,Carnes,2,5.8,11.6,Tarjeta débito,False,1.0986122886681098
136,2024-06-15,Bolsas plásticas,Descartables,11,0.1,1.1,Tarjeta crédito,False,2.4849066497880004
137,2023-03-06,Leche entera,Lácteos,1,1.2,1.2,Transferencia,False,0.6931471805599453
138,2024-04-13,Pasta de Tomate,Enlatados,4,0.75,3.0,Efectivo,False,1.6094379124341003
139,2023-09-21,Refresco 2L,Bebidas,4,1.1,4.4,QR,False,1.6094379124341003
140,2023-10-04,Leche entera,Lácteos,1,1.2,1.2,QR,False,0.6931471805599453
141,2023-11-22,Pasta de Tomate,Enlatados,3,0.75,2.25,Efectivo,False,1.3862943611198906
142,2024-05-08,Leche entera,Lácteos,4,1.2,4.8,QR,False,1.6094379124341003
143,2023-11-25,Refresco 2L,Bebidas,1,1.1,1.1,Tarjeta crédito,False,0.6931471805599453
144,2023-09-30,Helado familiar,Lácteos,1,4.0,4.0,Efectivo,False,0.6931471805599453
145,2024-05-15,Papas precocinadas,Congelados,1,2.3,2.3,Tarjeta débito,False,0.6931471805599453
146,2024-02-14,Yogurt natural,Lácteos,1,0.9,0.9,Tarjeta débito,False,0.6931471805599453
147,2023-05-04,Leche entera,Lácteos,1,1.2,1.2,QR,False,0.6931471805599453
148,2024-10-15,Pasta de Tomate,Enlatados,3,0.75,2.25,Transferencia,False,1.3862943611198906
150,2023-02-08,Refresco 2L,Bebidas,8,1.1,8.8,QR,True,2.1972245773362196
151,2023-11-24,Carne molida,Carnes,1,5.8,5.8,Transferencia,False,0.6931471805599453
152,2024-03-15,Leche entera,Lácteos,1,1.2,1.2,Efectivo,False,0.6931471805599453
153,2024-09-28,Jamón de pavo,Embutidos,1,3.2,3.2,Efectivo,False,0.6931471805599453
154,2024-02-14,Leche entera,Lácteos,2,1.2,2.4,Transferencia,False,1.0986122886681098
155,2023-08-04,Carne molida,Carnes,1,5.8,5.8,Transferencia,False,0.6931471805599453
156,2023-03-30,Bolsas plásticas,Descartables,12,0.1,1.2,Efectivo,False,2.5649493574615367
157,2023-07-06,Yogurt natural,Lácteos,6,0.9,5.4,Tarjeta débito,False,1.9459101490553132
158,2023-07-27,Bolsas plásticas,Descartables,6,0.1,0.6,Tarjeta crédito,False,1.9459101490553132
159,2024-11-30,Carne molida,Carnes,1,5.8,5.8,QR,False,0.6931471805599453
160,2024-08-30,Pollo entero,Carnes,2,4.5,9.0,QR,False,1.0986122886681098
161,2023-07-31,Refresco 2L,Bebidas,5,1.1,5.5,Tarjeta crédito,False,1.791759469228055
164,2023-10-14,Bolsas plásticas,Descartables,6,0.1,0.6,Tarjeta débito,False,1.9459101490553132
165,2024-06-20,Pasta de Tomate,Enlatados,2,0.75,1.5,Efectivo,False,1.0986122886681098
166,2023-04-29,Papas precocinadas,Congelados,2,2.3,4.6,Tarjeta crédito,False,1.0986122886681098
167,2023-03-20,Refresco 2L,Bebidas,2,1.1,2.2,QR,False,1.0986122886681098
168,2023-05-24,Carne molida,Carnes,1,5.8,5.8,Efectivo,False,0.6931471805599453
169,2024-02-06,Yogurt natural,Lácteos,5,0.9,4.5,Transferencia,False,1.791759469228055
170,2023-08-26,Leche entera,Lácteos,2,1.2,2.4,QR,False,1.0986122886681098
171,2023-07-31,Pasta de Tomate,Enlatados,2,0.75,1.5,Transferencia,False,1.0986122886681098
172,2024-08-24,Leche entera,Lácteos,2,1.2,2.4,Efectivo,False,1.0986122886681098
173,2024-04-13,Papas precocinadas,Congelados,1,2.3,2.3,QR,False,0.6931471805599453
174,2023-04-27,Papas precocinadas,Congelados,1,2.3,2.3,Tarjeta crédito,False,0.6931471805599453
175,2024-04-30,Papas precocinadas,Congelados,4,2.3,9.2,Tarjeta débito,False,1.6094379124341003
176,2023-10-14,Bolsas plásticas,Descartables,4,0.1,0.4,QR,False,1.6094379124341003
177,2023-12-15,Jamón de pavo,Embutidos,1,3.2,3.2,Transferencia,False,0.6931471805599453
178,2024-07-16,Pasta de Tomate,Enlatados,3,0.75,2.25,Tarjeta crédito,False,1.3862943611198906
179,2024-02-10,Pollo entero,Carnes,1,4.5,4.5,Efectivo,False,0.6931471805599453
180,2023-04-12,Bolsas plásticas,Descartables,6,0.1,0.6,Transferencia,False,1.9459101490553132
181,2024-08-05,Bolsas plásticas,Descartables,7,0.1,0.7,Transferencia,False,2.0794415416798357
183,2024-08-13,Yogurt natural,Lácteos,2,0.9,1.8,Transferencia,False,1.0986122886681098
185,2024-10-19,Leche entera,Lácteos,2,1.2,2.4,QR,False,1.0986122886681098
186,2023-04-15,Leche entera,Lácteos,4,1.2,4.8,Transferencia,False,1.6094379124341003
187,2023-07-29,Helado familiar,Lácteos,1,4.0,4.0,Tarjeta crédito,False,0.6931471805599453
188,2024-02-04,Bolsas plásticas,Descartables,8,0.1,0.8,Tarjeta crédito,False,2.1972245773362196
189,2023-09-15,Pollo entero,Carnes,1,4.5,4.5,QR,False,0.6931471805599453
190,2024-08-07,Papas precocinadas,Congelados,2,2.3,4.6,Transferencia,False,1.0986122886681098
191,2023-05-04,Pollo entero,Carnes,1,4.5,4.5,Tarjeta crédito,False,0.6931471805599453
192,2023-09-30,Leche entera,Lácteos,1,1.2,1.2,Transferencia,False,0.6931471805599453
193,2023-09-08,Jamón de pavo,Embutidos,1,3.2,3.2,Efectivo,False,0.6931471805599453
194,2024-05-16,Pasta de Tomate,Enlatados,3,0.75,2.25,Tarjeta crédito,False,1.3862943611198906
195,2024-10-25,Pollo entero,Carnes,4,4.5,18.0,Tarjeta crédito,True,1.6094379124341003
196,2024-07-31,Carne molida,Carnes,1,5.8,5.8,Tarjeta débito,False,0.6931471805599453
197,2023-04-24,Pollo entero,Carnes,1,4.5,4.5,Transferencia,False,0.6931471805599453
198,2023-07-31,Pollo entero,Carnes,1,4.5,4.5,QR,False,0.6931471805599453
199,2024-11-16,Helado familiar,Lácteos,1,4.0,4.0,Transferencia,False,0.6931471805599453
200,2024-04-13,Refresco 2L,Bebidas,3,1.1,3.3,Transferencia,False,1.3862943611198906
201,2023-09-30,Yogurt natural,Lácteos,6,0.9,5.4,QR,False,1.9459101490553132
202,2024-08-27,Leche entera,Lácteos,1,1.2,1.2,Tarjeta crédito,False,0.6931471805599453
204,2024-07-18,Carne molida,Carnes,1,5.8,5.8,Efectivo,False,0.6931471805599453
206,2024-09-11,Refresco 2L,Bebidas,2,1.1,2.2,Transferencia,False,1.0986122886681098
207,2024-10-28,Pasta de Tomate,Enlatados,2,0.75,1.5,QR,False,1.0986122886681098
209,2023-12-21,Helado familiar,Lácteos,2,4.0,8.0,Efectivo,False,1.0986122886681098
210,2023-11-11,Pollo entero,Carnes,3,4.5,13.5,QR,False,1.3862943611198906
211,2023-09-12,Leche entera,Lácteos,3,1.2,3.6,Tarjeta crédito,False,1.3862943611198906
212,2023-09-16,Helado familiar,Lácteos,1,4.0,4.0,Transferencia,False,0.6931471805599453
213,2024-10-29,Bolsas plásticas,Descartables,13,0.1,1.3,Tarjeta débito,False,2.6390573296152584
214,2023-10-14,Pasta de Tomate,Enlatados,4,0.75,3.0,Efectivo,False,1.6094379124341003
215,2023-11-07,Pasta de Tomate,Enlatados,4,0.75,3.0,Tarjeta débito,False,1.6094379124341003
216,2024-02-19,Carne molida,Carnes,1,5.8,5.8,Transferencia,False,0.6931471805599453
217,2024-06-21,Bolsas plásticas,Descartables,9,0.1,0.9,Tarjeta crédito,False,2.302585092994046
218,2024-04-15,Bolsas plásticas,Descartables,6,0.1,0.6,Efectivo,False,1.9459101490553132
219,2023-11-16,Yogurt natural,Lácteos,2,0.9,1.8,QR,False,1.0986122886681098
220,2024-08-31,Carne molida,Carnes,2,5.8,11.6,Transferencia,False,1.0986122886681098
221,2024-02-04,Carne molida,Carnes,1,5.8,5.8,QR,False,0.6931471805599453
222,2023-12-14,Pollo entero,Carnes,1,4.5,4.5,Efectivo,False,0.6931471805599453
223,2024-07-26,Jamón de pavo,Embutidos,1,3.2,3.2,QR,False,0.6931471805599453
224,2024-05-30,Leche entera,Lácteos,2,1.2,2.4,Tarjeta crédito,False,1.0986122886681098
225,2024-10-25,Helado familiar,Lácteos,2,4.0,8.0,Tarjeta débito,False,1.0986122886681098
226,2023-01-04,Yogurt natural,Lácteos,2,0.9,1.8,Tarjeta crédito,False,1.0986122886681098
227,2024-11-03,Bolsas plásticas,Descartables,5,0.1,0.5,QR,False,1.791759469228055
228,2023-02-11,Refresco 2L,Bebidas,3,1.1,3.3,Tarjeta débito,False,1.3862943611198906
229,2023-04-29,Refresco 2L,Bebidas,1,1.1,1.1,Transferencia,False,0.6931471805599453
230,2024-12-02,Leche entera,Lácteos,1,1.2,1.2,Transferencia,False,0.6931471805599453
231,2024-02-21,Pollo entero,Carnes,1,4.5,4.5,Transferencia,False,0.6931471805599453
232,2023-04-18,Jamón de pavo,Embutidos,1,3.2,3.2,QR,False,0.6931471805599453
233,2023-06-05,Bolsas plásticas,Descartables,6,0.1,0.6,Tarjeta crédito,False,1.9459101490553132
234,2024-03-02,Bolsas plásticas,Descartables,8,0.1,0.8,QR,False,2.1972245773362196
235,2024-11-19,Jamón de pavo,Embutidos,1,3.2,3.2,Transferencia,False,0.6931471805599453
236,2023-10-31,Yogurt natural,Lácteos,6,0.9,5.4,QR,False,1.9459101490553132
237,2024-07-20,Leche entera,Lácteos,1,1.2,1.2,Efectivo,False,0.6931471805599453
238,2024-03-19,Jamón de pavo,Embutidos,2,3.2,6.4,Transferencia,False,1.0986122886681098
239,2024-01-20,Pasta de Tomate,Enlatados,1,0.75,0.75,Transferencia,False,0.6931471805599453
240,2023-11-01,Pasta de Tomate,Enlatados,1,0.75,0.75,QR,False,0.6931471805599453
241,2024-11-20,Pasta de Tomate,Enlatados,4,0.75,3.0,Tarjeta crédito,False,1.6094379124341003
243,2024-06-07,Leche entera,Lácteos,2,1.2,2.4,Transferencia,False,1.0986122886681098
244,2023-10-04,Pasta de Tomate,Enlatados,1,0.75,0.75,Transferencia,False,0.6931471805599453
245,2024-04-20,Leche entera,Lácteos,3,1.2,3.6,Efectivo,False,1.3862943611198906
246,2023-01-12,Jamón de pavo,Embutidos,2,3.2,6.4,QR,False,1.0986122886681098
247,2023-07-19,Carne molida,Carnes,1,5.8,5.8,Transferencia,False,0.6931471805599453
248,2024-11-30,Pollo entero,Carnes,1,4.5,4.5,Tarjeta débito,False,0.6931471805599453
249,2023-06-24,Refresco 2L,Bebidas,2,1.1,2.2,Tarjeta crédito,False,1.0986122886681098
250,2024-10-24,Bolsas plásticas,Descartables,8,0.1,0.8,QR,False,2.1972245773362196
251,2024-09-09,Pollo entero,Carnes,1,4.5,4.5,QR,False,0.6931471805599453
252,2023-11-03,Refresco 2L,Bebidas,2,1.1,2.2,QR,False,1.0986122886681098
254,2024-09-14,Carne molida,Carnes,4,5.8,23.2,QR,True,1.6094379124341003
255,2024-02-19,Carne molida,Carnes,1,5.8,5.8,Transferencia,False,0.6931471805599453
257,2023-03-30,Bolsas plásticas,Descartables,9,0.1,0.9,QR,False,2.302585092994046
258,2023-07-11,Leche entera,Lácteos,1,1.2,1.2,Transferencia,False,0.6931471805599453
259,2023-07-15,Helado familiar,Lácteos,1,4.0,4.0,Tarjeta débito,False,0.6931471805599453
260,2023-09-09,Pollo entero,Carnes,1,4.5,4.5,Efectivo,False,0.6931471805599453
261,2024-06-27,Refresco 2L,Bebidas,3,1.1,3.3,Tarjeta crédito,False,1.3862943611198906
262,2024-12-03,Refresco 2L,Bebidas,1,1.1,1.1,Tarjeta crédito,False,0.6931471805599453
263,2024-10-21,Yogurt natural,Lácteos,2,0.9,1.8,QR,False,1.0986122886681098
265,2024-08-31,Pasta de Tomate,Enlatados,2,0.75,1.5,Transferencia,False,1.0986122886681098
266,2024-08-31,Carne molida,Carnes,1,5.8,5.8,Tarjeta débito,False,0.6931471805599453
267,2023-09-22,Bolsas plásticas,Descartables,4,0.1,0.4,Efectivo,False,1.6094379124341003
268,2024-06-27,Leche entera,Lácteos,1,1.2,1.2,Efectivo,False,0.6931471805599453
269,2024-01-31,Pasta de Tomate,Enlatados,4,0.75,3.0,QR,False,1.6094379124341003
270,2023-04-04,Refresco 2L,Bebidas,1,1.1,1.1,Tarjeta crédito,False,0.6931471805599453
271,2024-09-03,Leche entera,Lácteos,2,1.2,2.4,QR,False,1.0986122886681098
272,2023-03-24,Leche entera,Lácteos,3,1.2,3.6,Tarjeta débito,False,1.3862943611198906
273,2024-06-15,Pollo entero,Carnes,1,4.5,4.5,Transferencia,False,0.6931471805599453
274,2024-11-16,Yogurt natural,Lácteos,3,0.9,2.7,Transferencia,False,1.3862943611198906
275,2024-12-04,Leche entera,Lácteos,1,1.2,1.2,QR,False,0.6931471805599453
276,2024-03-05,Refresco 2L,Bebidas,4,1.1,4.4,Transferencia,False,1.6094379124341003
277,2023-05-08,Bolsas plásticas,Descartables,6,0.1,0.6,Tarjeta débito,False,1.9459101490553132
278,2024-02-19,Bolsas plásticas,Descartables,6,0.1,0.6,Efectivo,False,1.9459101490553132
279,2024-01-25,Helado familiar,Lácteos,1,4.0,4.0,Tarjeta crédito,False,0.6931471805599453
281,2023-10-17,Pollo entero,Carnes,4,4.5,18.0,QR,True,1.6094379124341003
282,2023-04-29,Refresco 2L,Bebidas,2,1.1,2.2,Efectivo,False,1.0986122886681098
283,2023-09-30,Refresco 2L,Bebidas,3,1.1,3.3,QR,False,1.3862943611198906
284,2023-01-05,Helado familiar,Lácteos,1,4.0,4.0,Efectivo,False,0.6931471805599453
285,2024-05-14,Jamón de pavo,Embutidos,1,3.2,3.2,Efectivo,False,0.6931471805599453
286,2023-12-12,Jamón de pavo,Embutidos,1,3.2,3.2,Efectivo,False,0.6931471805599453
287,2024-02-27,Bolsas plásticas,Descartables,4,0.1,0.4,Tarjeta débito,False,1.6094379124341003
288,2024-04-30,Bolsas plásticas,Descartables,4,0.1,0.4,Tarjeta crédito,False,1.6094379124341003
289,2023-04-15,Leche entera,Lácteos,8,1.2,9.6,Tarjeta débito,True,2.1972245773362196
290,2023-02-09,Pollo entero,Carnes,2,4.5,9.0,Transferencia,False,1.0986122886681098
291,2024-04-27,Carne molida,Carnes,2,5.8,11.6,Transferencia,False,1.0986122886681098
292,2024-03-07,Pollo entero,Carnes,1,4.5,4.5,Efectivo,False,0.6931471805599453
293,2024-01-24,Leche entera,Lácteos,3,1.2,3.6,QR,False,1.3862943611198906
295,2023-09-16,Pollo entero,Carnes,1,4.5,4.5,Tarjeta crédito,False,0.6931471805599453
296,2023-04-12,Leche entera,Lácteos,2,1.2,2.4,QR,False,1.0986122886681098
297,2023-10-21,Bolsas plásticas,Descartables,13,0.1,1.3,Tarjeta débito,False,2.6390573296152584
298,2024-01-30,Papas precocinadas,Congelados,1,2.3,2.3,Tarjeta crédito,False,0.6931471805599453
299,2024-09-16,Yogurt natural,Lácteos,4,0.9,3.6,Tarjeta crédito,False,1.6094379124341003
300,2024-09-03,Refresco 2L,Bebidas,3,1.1,3.3,QR,False,1.3862943611198906
301,2024-03-20,Papas precocinadas,Congelados,2,2.3,4.6,Tarjeta crédito,False,1.0986122886681098
302,2024-11-09,Leche entera,Lácteos,6,1.2,7.2,Tarjeta débito,False,1.9459101490553132
303,2023-12-28,Bolsas plásticas,Descartables,10,0.1,1.0,QR,False,2.3978952727983707
304,2023-12-16,Refresco 2L,Bebidas,3,1.1,3.3,Tarjeta crédito,False,1.3862943611198906
306,2024-09-24,Carne molida,Carnes,4,5.8,23.2,Transferencia,True,1.6094379124341003
307,2024-03-22,Pollo entero,Carnes,1,4.5,4.5,QR,False,0.6931471805599453
308,2024-03-02,Leche entera,Lácteos,6,1.2,7.2,Efectivo,False,1.9459101490553132
309,2023-12-04,Bolsas plásticas,Descartables,8,0.1,0.8,Tarjeta crédito,False,2.1972245773362196
310,2024-05-30,Papas precocinadas,Congelados,3,2.3,6.9,Transferencia,False,1.3862943611198906
311,2024-09-14,Yogurt natural,Lácteos,8,0.9,7.2,Tarjeta débito,True,2.1972245773362196
312,2024-10-28,Helado familiar,Lácteos,1,4.0,4.0,QR,False,0.6931471805599453
313,2023-12-30,Carne molida,Carnes,2,5.8,11.6,QR,False,1.0986122886681098
314,2023-12-18,Leche entera,Lácteos,1,1.2,1.2,Transferencia,False,0.6931471805599453
315,2024-08-30,Carne molida,Carnes,2,5.8,11.6,Efectivo,False,1.0986122886681098
317,2023-04-15,Bolsas plásticas,Descartables,8,0.1,0.8,Tarjeta débito,False,2.1972245773362196
318,2024-02-27,Helado familiar,Lácteos,1,4.0,4.0,Tarjeta débito,False,0.6931471805599453
