producto,año_mes,categoria,medida,cantidad,total,fecha,mes_n,media_3m,producto_cod,categoria_cod,medida_cod
Jamón,2024-09,Carnes,kg,169,152.1,2024-09-01,18,176.66666666666666,3,2,0
Jamón,2024-10,Carnes,kg,166,149.4,2024-10-01,19,171.0,3,2,0
Jamón,2024-11,Carnes,kg,171,153.9,2024-11-01,20,168.66666666666666,3,2,0
Jamón,2024-12,Carnes,kg,6,5.4,2024-12-01,21,114.33333333333333,3,2,0
Leche entera,2023-03,Granos,u,150,750.0,2023-03-01,0,150.0,4,3,1
Leche entera,2023-04,Granos,u,174,870.0,2023-04-01,1,162.0,4,3,1
Leche entera,2023-05,Granos,u,171,855.0,2023-05-01,2,165.0,4,3,1
Leche entera,2023-06,Granos,u,190,950.0,2023-06-01,3,178.33333333333334,4,3,1
Leche entera,2023-07,Granos,u,201,1005.0,2023-07-01,4,187.33333333333334,4,3,1
Leche entera,2023-08,Granos,u,203,1015.0,2023-08-01,5,198.0,4,3,1
Leche entera,2023-09,Granos,u,162,810.0,2023-09-01,6,188.66666666666666,4,3,1
Leche entera,2023-10,Granos,u,165,825.0,2023-10-01,7,176.66666666666666,4,3,1
Leche entera,2023-11,Granos,u,186,930.0,2023-11-01,8,171.0,4,3,1
Leche entera,2023-12,Granos,u,177,885.0,2023-12-01,9,176.0,4,3,1
Leche entera,2024-01,Granos,u,193,965.0,2024-01-01,10,185.33333333333334,4,3,1
Leche entera,2024-02,Granos,u,193,965.0,2024-02-01,11,187.66666666666666,4,3,1
Leche entera,2024-03,Granos,u,219,1095.0,2024-03-01,12,201.66666666666666,4,3,1
Leche entera,2024-04,Granos,u,173,865.0,2024-04-01,13,195.0,4,3,1
Leche entera,2024-05,Granos,u,190,950.0,2024-05-01,14,194.0,4,3,1
Leche entera,2024-06,Granos,u,151,755.0,2024-06-01,15,171.33333333333334,4,3,1
Leche entera,2024-07,Granos,u,173,865.0,2024-07-01,16,171.33333333333334,4,3,1
Leche entera,2024-08,Granos,u,184,920.0,2024-08-01,17,169.33333333333334,4,3,1
Leche entera,2024-09,Granos,u,159,795.0,2024-09-01,18,172.0,4,3,1
Leche entera,2024-10,Granos,u,160,800.0,2024-10-01,19,167.66666666666666,4,3,1
Leche entera,2024-11,Granos,u,169,845.0,2024-11-01,20,162.66666666666666,4,3,1
Leche entera,2024-12,Granos,u,1,5.0,2024-12-01,21,110.0,4,3,1
Papas precocinadas,2023-03,Lácteos,u,204,642.6,2023-03-01,0,204.0,5,4,1
Papas precocinadas,2023-04,Lácteos,u,148,466.2,2023-04-01,1,176.0,5,4,1
Papas precocinadas,2023-05,Lácteos,u,181,570.15,2023-05-01,2,177.66666666666666,5,4,1
Papas precocinadas,2023-06,Lácteos,u,191,601.65,2023-06-01,3,173.33333333333334,5,4,1
Papas precocinadas,2023-07,Lácteos,u,190,598.5,2023-07-01,4,187.33333333333334,5,4,1
Papas precocinadas,2023-08,Lácteos,u,159,500.84999999999997,2023-08-01,5,180.0,5,4,1
Papas precocinadas,2023-09,Lácteos,u,177,557.55,2023-09-01,6,175.33333333333334,5,4,1
Papas precocinadas,2023-10,Lácteos,u,200,630.0,2023-10-01,7,178.66666666666666,5,4,1
Papas precocinadas,2023-11,Lácteos,u,171,538.65,2023-11-01,8,182.66666666666666,5,4,1
Papas precocinadas,2023-12,Lácteos,u,197,620.55,2023-12-01,9,189.33333333333334,5,4,1
Papas precocinadas,2024-01,Lácteos,u,193,607.9499999999999,2024-01-01,10,187.0,5,4,1
Papas precocinadas,2024-02,Lácteos,u,157,494.54999999999995,2024-02-01,11,182.33333333333334,5,4,1
Papas precocinadas,2024-03,Lácteos,u,167,526.05,2024-03-01,12,172.33333333333334,5,4,1
Papas precocinadas,2024-04,Lácteos,u,183,576.4499999999999,2024-04-01,13,169.0,5,4,1
Papas precocinadas,2024-05,Lácteos,u,202,636.3,2024-05-01,14,184.0,5,4,1
Papas precocinadas,2024-06,Lácteos,u,153,481.95,2024-06-01,15,179.33333333333334,5,4,1
Papas precocinadas,2024-07,Lácteos,u,210,661.5,2024-07-01,16,188.33333333333334,5,4,1
Papas precocinadas,2024-08,Lácteos,u,132,415.79999999999995,2024-08-01,17,165.0,5,4,1
Papas precocinadas,2024-09,Lácteos,u,200,630.0,2024-09-01,18,180.66666666666666,5,4,1
Papas precocinadas,2024-10,Lácteos,u,167,526.05,2024-10-01,19,166.33333333333334,5,4,1
Papas precocinadas,2024-11,Lácteos,u,137,431.54999999999995,2024-11-01,20,168.0,5,4,1
Papas precocinadas,2024-12,Lácteos,u,10,31.5,2024-12-01,21,104.66666666666667,5,4,1
Pasta de Tomate,2023-03,Lácteos,u,164,246.0,2023-03-01,0,164.0,6,4,1
Pasta de Tomate,2023-04,Lácteos,u,131,196.5,2023-04-01,1,147.5,6,4,1
Pasta de Tomate,2023-05,Lácteos,u,187,280.5,2023-05-01,2,160.66666666666666,6,4,1
Pasta de Tomate,2023-06,Lácteos,u,163,244.5,2023-06-01,3,160.33333333333334,6,4,1
Pasta de Tomate,2023-07,Lácteos,u,223,334.5,2023-07-01,4,191.0,6,4,1
Pasta de Tomate,2023-08,Lácteos,u,201,301.5,2023-08-01,5,195.66666666666666,6,4,1
Pasta de Tomate,2023-09,Lácteos,u,141,211.5,2023-09-01,6,188.33333333333334,6,4,1
Pasta de Tomate,2023-10,Lácteos,u,212,318.0,2023-10-01,7,184.66666666666666,6,4,1
Pasta de Tomate,2023-11,Lácteos,u,140,210.0,2023-11-01,8,164.33333333333334,6,4,1
Pasta de Tomate,2023-12,Lácteos,u,166,249.0,2023-12-01,9,172.66666666666666,6,4,1
Pasta de Tomate,2024-01,Lácteos,u,195,292.5,2024-01-01,10,167.0,6,4,1
Pasta de Tomate,2024-02,Lácteos,u,144,216.0,2024-02-01,11,168.33333333333334,6,4,1
Pasta de Tomate,2024-03,Lácteos,u,191,286.5,2024-03-01,12,176.66666666666666,6,4,1
Pasta de Tomate,2024-04,Lácteos,u,141,211.5,2024-04-01,13,158.66666666666666,6,4,1
Pasta de Tomate,2024-05,Lácteos,u,159,238.5,2024-05-01,14,163.66666666666666,6,4,1
Pasta de Tomate,2024-06,Lácteos,u,177,265.5,2024-06-01,15,159.0,6,4,1
Pasta de Tomate,2024-07,Lácteos,u,220,330.0,2024-07-01,16,185.33333333333334,6,4,1
Pasta de Tomate,2024-08,Lácteos,u,139,208.5,2024-08-01,17,178.66666666666666,6,4,1
Pasta de Tomate,2024-09,Lácteos,u,184,276.0,2024-09-01,18,181.0,6,4,1
Pasta de Tomate,2024-10,Lácteos,u,183,274.5,2024-10-01,19,168.66666666666666,6,4,1
Pasta de Tomate,2024-11,Lácteos,u,178,267.0,2024-11-01,20,181.66666666666666,6,4,1
Pasta de Tomate,2024-12,Lácteos,u,1,1.5,2024-12-01,21,120.66666666666667,6,4,1
Pollo,2023-03,Granos,kg,179,170.05,2023-03-01,0,179.0,7,3,0
Pollo,2023-04,Granos,kg,152,144.4,2023-04-01,1,165.5,7,3,0
Pollo,2023-05,Granos,kg,195,185.25,2023-05-01,2,175.33333333333334,7,3,0
Pollo,2023-06,Granos,kg,217,206.15,2023-06-01,3,188.0,7,3,0
Pollo,2023-07,Granos,kg,191,181.45,2023-07-01,4,201.0,7,3,0
Pollo,2023-08,Granos,kg,152,144.4,2023-08-01,5,186.66666666666666,7,3,0
Pollo,2023-09,Granos,kg,154,146.3,2023-09-01,6,165.66666666666666,7,3,0
Pollo,2023-10,Granos,kg,133,126.35,2023-10-01,7,146.33333333333334,7,3,0
Pollo,2023-11,Granos,kg,174,165.3,2023-11-01,8,153.66666666666666,7,3,0
Pollo,2023-12,Granos,kg,178,169.1,2023-12-01,9,161.66666666666666,7,3,0
Pollo,2024-01,Granos,kg,171,162.45,2024-01-01,10,174.33333333333334,7,3,0
Pollo,2024-02,Granos,kg,192,182.4,2024-02-01,11,180.33333333333334,7,3,0
Pollo,2024-03,Granos,kg,173,164.35,2024-03-01,12,178.66666666666666,7,3,0
Pollo,2024-04,Granos,kg,170,161.5,2024-04-01,13,178.33333333333334,7,3,0
Pollo,2024-05,Granos,kg,179,170.05,2024-05-01,14,174.0,7,3,0
Pollo,2024-06,Granos,kg,192,182.4,2024-06-01,15,180.33333333333334,7,3,0
Pollo,2024-07,Granos,kg,175,166.25,2024-07-01,16,182.0,7,3,0
Pollo,2024-08,Granos,kg,215,204.25,2024-08-01,17,194.0,7,3,0
Pollo,2024-09,Granos,kg,200,190.0,2024-09-01,18,196.66666666666666,7,3,0
Pollo,2024-10,Granos,kg,180,171.0,2024-10-01,19,198.33333333333334,7,3,0
Pollo,2024-11,Granos,kg,165,156.75,2024-11-01,20,181.66666666666666,7,3,0
Pollo,2024-12,Granos,kg,7,6.6499999999999995,2024-12-01,21,117.33333333333333,7,3,0
Refresco,2023-03,Carnes,u,174,78.3,2023-03-01,0,174.0,8,2,1
Refresco,2023-04,Carnes,u,188,84.60000000000001,2023-04-01,1,181.0,8,2,1
Refresco,2023-05,Carnes,u,188,84.60000000000001,2023-05-01,2,183.33333333333334,8,2,1
Refresco,2023-06,Carnes,u,180,81.0,2023-06-01,3,185.33333333333334,8,2,1
Refresco,2023-07,Carnes,u,191,85.95,2023-07-01,4,186.33333333333334,8,2,1
Refresco,2023-08,Carnes,u,217,97.65,2023-08-01,5,196.0,8,2,1
Refresco,2023-09,Carnes,u,185,83.25,2023-09-01,6,197.66666666666666,8,2,1
Refresco,2023-10,Carnes,u,160,72.0,2023-10-01,7,187.33333333333334,8,2,1
Refresco,2023-11,Carnes,u,200,90.0,2023-11-01,8,181.66666666666666,8,2,1
Refresco,2023-12,Carnes,u,186,83.7,2023-12-01,9,182.0,8,2,1
Refresco,2024-01,Carnes,u,180,81.0,2024-01-01,10,188.66666666666666,8,2,1
Refresco,2024-02,Carnes,u,175,78.75,2024-02-01,11,180.33333333333334,8,2,1
Refresco,2024-03,Carnes,u,163,73.35000000000001,2024-03-01,12,172.66666666666666,8,2,1
Refresco,2024-04,Carnes,u,209,94.05,2024-04-01,13,182.33333333333334,8,2,1
Refresco,2024-05,Carnes,u,181,81.45,2024-05-01,14,184.33333333333334,8,2,1
Refresco,2024-06,Carnes,u,196,88.2,2024-06-01,15,195.33333333333334,8,2,1
Refresco,2024-07,Carnes,u,195,87.75,2024-07-01,16,190.66666666666666,8,2,1
Refresco,2024-08,Carnes,u,165,74.25,2024-08-01,17,185.33333333333334,8,2,1
Refresco,2024-09,Carnes,u,187,84.15,2024-09-01,18,182.33333333333334,8,2,1
Refresco,2024-10,Carnes,u,191,85.95,2024-10-01,19,181.0,8,2,1
Refresco,2024-11,Carnes,u,148,66.60000000000001,2024-11-01,20,175.33333333333334,8,2,1
Refresco,2024-12,Carnes,u,10,4.5,2024-12-01,21,116.33333333333333,8,2,1
Yogurt,2023-03,Bebidas,u,176,96.8,2023-03-01,0,176.0,9,1,1
Yogurt,2023-04,Bebidas,u,194,106.7,2023-04-01,1,185.0,9,1,1
Yogurt,2023-05,Bebidas,u,175,96.25,2023-05-01,2,181.66666666666666,9,1,1
Yogurt,2023-06,Bebidas,u,222,122.10000000000001,2023-06-01,3,197.0,9,1,1
Yogurt,2023-07,Bebidas,u,201,110.55,2023-07-01,4,199.33333333333334,9,1,1
Yogurt,2023-08,Bebidas,u,173,95.15,2023-08-01,5,198.66666666666666,9,1,1
Yogurt,2023-09,Bebidas,u,165,90.75,2023-09-01,6,179.66666666666666,9,1,1
Yogurt,2023-10,Bebidas,u,197,108.35000000000001,2023-10-01,7,178.33333333333334,9,1,1
Yogurt,2023-11,Bebidas,u,152,83.6,2023-11-01,8,171.33333333333334,9,1,1
Yogurt,2023-12,Bebidas,u,170,93.5,2023-12-01,9,173.0,9,1,1
Yogurt,2024-01,Bebidas,u,203,111.65,2024-01-01,10,175.0,9,1,1
Yogurt,2024-02,Bebidas,u,161,88.55,2024-02-01,11,178.0,9,1,1
Yogurt,2024-03,Bebidas,u,183,100.65,2024-03-01,12,182.33333333333334,9,1,1
Yogurt,2024-04,Bebidas,u,165,90.75,2024-04-01,13,169.66666666666666,9,1,1
Yogurt,2024-05,Bebidas,u,166,91.3,2024-05-01,14,171.33333333333334,9,1,1
Yogurt,2024-06,Bebidas,u,148,81.4,2024-06-01,15,159.66666666666666,9,1,1
Yogurt,2024-07,Bebidas,u,214,117.7,2024-07-01,16,176.0,9,1,1
Yogurt,2024-08,Bebidas,u,213,117.15,2024-08-01,17,191.66666666666666,9,1,1
Yogurt,2024-09,Bebidas,u,198,108.9,2024-09-01,18,208.33333333333334,9,1,1
Yogurt,2024-10,Bebidas,u,176,96.8,2024-10-01,19,195.66666666666666,9,1,1
Yogurt,2024-11,Bebidas,u,181,99.55,2024-11-01,20,185.0,9,1,1
Yogurt,2024-12,Bebidas,u,7,3.85,2024-12-01,21,121.33333333333333,9,1,1
