,fecha,producto,categoria,cantidad,precio_unitario,medida,total,cantidad_log
25,2024-11-23,Pasta de Tomate,Lácteos,2,1.5,u,3.0,1.0986122886681098
26,2024-10-12,Carne molida,Aceites,4,0.8,kg,3.2,1.6094379124341003
27,2023-05-11,Bolsas,Panadería,2,0.35,u,0.7,1.0986122886681098
28,2023-10-20,Leche entera,Granos,5,5.0,u,25.0,1.791759469228055
29,2023-05-21,Pasta de Tomate,Lácteos,5,1.5,u,7.5,1.791759469228055
30,2023-06-12,Bolsas,Panadería,3,0.35,u,1.05,1.3862943611198906
31,2023-12-10,Refresco,Carnes,1,0.45,u,0.45,0.6931471805599453
32,2024-03-08,Jamón,Carnes,1,0.9,kg,0.9,0.6931471805599453
33,2024-03-14,Papas precocinadas,Lácteos,3,3.15,u,9.45,1.3862943611198906
34,2023-10-01,Carne molida,Aceites,3,0.8,kg,2.4,1.3862943611198906
35,2023-05-13,Pasta de Tomate,Lácteos,3,1.5,u,4.5,1.3862943611198906
36,2023-08-23,Yogurt,Bebidas,2,0.55,u,1.1,1.0986122886681098
37,2023-11-06,Helado,Lácteos,6,1.1,u,6.6,1.9459101490553132
38,2024-06-16,Papas precocinadas,Lácteos,5,3.15,u,15.75,1.791759469228055
39,2023-12-02,Refresco,Carnes,1,0.45,u,0.45,0.6931471805599453
40,2023-10-11,Helado,Lácteos,2,1.1,u,2.2,1.0986122886681098
41,2023-04-27,Carne molida,Aceites,3,0.8,kg,2.4,1.3862943611198906
42,2023-04-02,Bolsas,Panadería,3,0.35,u,1.05,1.3862943611198906
43,2024-04-14,Carne molida,Aceites,1,0.8,kg,0.8,0.6931471805599453
44,2023-05-07,Pasta de Tomate,Lácteos,3,1.5,u,4.5,1.3862943611198906
45,2024-10-01,Bolsas,Panadería,3,0.35,u,1.05,1.3862943611198906
46,2023-10-04,Carne molida,Aceites,4,0.8,kg,3.2,1.6094379124341003
47,2024-04-09,Jamón,Carnes,2,0.9,kg,1.8,1.0986122886681098
48,2023-07-25,Jamón,Carnes,1,0.9,kg,0.9,0.6931471805599453
49,2023-07-21,Pasta de Tomate,Lácteos,3,1.5,u,4.5,1.3862943611198906
50,2024-09-25,Bolsas,Panadería,3,0.35,u,1.05,1.3862943611198906
51,2023-11-25,Helado,Lácteos,2,1.1,u,2.2,1.0986122886681098
52,2024-05-12,Yogurt,Bebidas,4,0.55,u,2.2,1.6094379124341003
53,2024-04-12,Yogurt,Bebidas,3,0.55,u,1.65,1.3862943611198906
54,2023-10-11,Carne molida,Aceites,4,0.8,kg,3.2,1.6094379124341003
55,2024-08-03,Papas precocinadas,Lácteos,3,3.15,u,9.45,1.3862943611198906
56,2023-06-02,Jamón,Carnes,1,0.9,kg,0.9,0.6931471805599453
57,2023-06-21,Leche entera,Granos,3,5.0,u,15.0,1.3862943611198906
58,2023-08-11,Papas precocinadas,Lácteos,2,3.15,u,6.3,1.0986122886681098
59,2024-10-31,Refresco,Carnes,2,0.45,u,0.9,1.0986122886681098
60,2024-03-29,Pollo,Granos,4,0.95,kg,3.8,1.6094379124341003
62,2024-08-23,Jamón,Carnes,5,0.9,kg,4.5,1.791759469228055
63,2024-09-17,Pasta de Tomate,Lácteos,3,1.5,u,4.5,1.3862943611198906
64,2023-06-26,Leche entera,Granos,1,5.0,u,5.0,0.6931471805599453
65,2023-11-29,Helado,Lácteos,5,1.1,u,5.5,1.791759469228055
66,2023-06-23,Carne molida,Aceites,6,0.8,kg,4.8,1.9459101490553132
67,2024-05-19,Pasta de Tomate,Lácteos,3,1.5,u,4.5,1.3862943611198906
68,2024-06-07,Papas precocinadas,Lácteos,1,3.15,u,3.15,0.6931471805599453
69,2023-11-25,Leche entera,Granos,1,5.0,u,5.0,0.6931471805599453
70,2023-08-30,Helado,Lácteos,2,1.1,u,2.2,1.0986122886681098
71,2023-06-17,Helado,Lácteos,2,1.1,u,2.2,1.0986122886681098
72,2024-08-01,Pasta de Tomate,Lácteos,3,1.5,u,4.5,1.3862943611198906
73,2023-09-20,Yogurt,Bebidas,3,0.55,u,1.65,1.3862943611198906
74,2024-03-17,Papas precocinadas,Lácteos,6,3.15,u,18.9,1.9459101490553132
75,2024-09-03,Papas precocinadas,Lácteos,2,3.15,u,6.3,1.0986122886681098
76,2023-03-01,Helado,Lácteos,3,1.1,u,3.3,1.3862943611198906
77,2024-01-26,Yogurt,Bebidas,5,0.55,u,2.75,1.791759469228055
78,2023-03-20,Jamón,Carnes,2,0.9,kg,1.8,1.0986122886681098
79,2024-03-06,Pollo,Granos,3,0.95,kg,2.85,1.3862943611198906
80,2023-11-01,Pasta de Tomate,Lácteos,2,1.5,u,3.0,1.0986122886681098
81,2023-11-02,Leche entera,Granos,5,5.0,u,25.0,1.791759469228055
82,2023-05-20,Yogurt,Bebidas,6,0.55,u,3.3,1.9459101490553132
83,2024-07-10,Pollo,Granos,3,0.95,kg,2.85,1.3862943611198906
84,2024-08-27,Pollo,Granos,2,0.95,kg,1.9,1.0986122886681098
85,2023-07-10,Papas precocinadas,Lácteos,4,3.15,u,12.6,1.6094379124341003
86,2024-09-13,Jamón,Carnes,3,0.9,kg,2.7,1.3862943611198906
87,2023-11-27,Papas precocinadas,Lácteos,6,3.15,u,18.9,1.9459101490553132
88,2024-11-11,Helado,Lácteos,6,1.1,u,6.6,1.9459101490553132
89,2023-10-03,Refresco,Carnes,6,0.45,u,2.7,1.9459101490553132
90,2023-09-22,Helado,Lácteos,2,1.1,u,2.2,1.0986122886681098
91,2024-04-12,Pasta de Tomate,Lácteos,1,1.5,u,1.5,0.6931471805599453
92,2024-05-22,Carne molida,Aceites,2,0.8,kg,1.6,1.0986122886681098
93,2024-06-05,Helado,Lácteos,3,1.1,u,3.3,1.3862943611198906
94,2023-11-09,Pollo,Granos,2,0.95,kg,1.9,1.0986122886681098
95,2023-05-05,Bolsas,Panadería,1,0.35,u,0.35,0.6931471805599453
96,2023-03-22,Carne molida,Aceites,3,0.8,kg,2.4,1.3862943611198906
97,2024-09-18,Yogurt,Bebidas,3,0.55,u,1.65,1.3862943611198906
98,2024-10-23,Bolsas,Panadería,2,0.35,u,0.7,1.0986122886681098
99,2023-03-08,Bolsas,Panadería,1,0.35,u,0.35,0.6931471805599453
100,2023-04-30,Pollo,Granos,4,0.95,kg,3.8,1.6094379124341003
101,2023-05-09,Bolsas,Panadería,4,0.35,u,1.4,1.6094379124341003
102,2024-02-02,Leche entera,Granos,2,5.0,u,10.0,1.0986122886681098
103,2024-08-08,Pollo,Granos,1,0.95,kg,0.95,0.6931471805599453
104,2023-12-11,Bolsas,Panadería,1,0.35,u,0.35,0.6931471805599453
105,2023-10-06,Jamón,Carnes,5,0.9,kg,4.5,1.791759469228055
106,2023-07-14,Helado,Lácteos,2,1.1,u,2.2,1.0986122886681098
107,2024-10-11,Yogurt,Bebidas,4,0.55,u,2.2,1.6094379124341003
108,2023-11-04,Jamón,Carnes,5,0.9,kg,4.5,1.791759469228055
109,2024-04-20,Jamón,Carnes,2,0.9,kg,1.8,1.0986122886681098
110,2023-06-05,Bolsas,Panadería,2,0.35,u,0.7,1.0986122886681098
111,2024-05-15,Pollo,Granos,1,0.95,kg,0.95,0.6931471805599453
112,2024-05-07,Carne molida,Aceites,1,0.8,kg,0.8,0.6931471805599453
113,2024-06-21,Refresco,Carnes,1,0.45,u,0.45,0.6931471805599453
114,2023-06-09,Leche entera,Granos,4,5.0,u,20.0,1.6094379124341003
115,2024-04-16,Leche entera,Granos,3,5.0,u,15.0,1.3862943611198906
116,2023-06-20,Carne molida,Aceites,3,0.8,kg,2.4,1.3862943611198906
117,2023-09-13,Bolsas,Panadería,2,0.35,u,0.7,1.0986122886681098
118,2024-08-31,Bolsas,Panadería,3,0.35,u,1.05,1.3862943611198906
119,2023-07-22,Jamón,Carnes,3,0.9,kg,2.7,1.3862943611198906
120,2023-09-04,Refresco,Carnes,1,0.45,u,0.45,0.6931471805599453
121,2024-06-16,Pasta de Tomate,Lácteos,2,1.5,u,3.0,1.0986122886681098
122,2023-05-17,Bolsas,Panadería,4,0.35,u,1.4,1.6094379124341003
123,2024-09-14,Jamón,Carnes,5,0.9,kg,4.5,1.791759469228055
124,2023-04-21,Pollo,Granos,4,0.95,kg,3.8,1.6094379124341003
125,2023-03-16,Helado,Lácteos,1,1.1,u,1.1,0.6931471805599453
126,2023-10-29,Pollo,Granos,1,0.95,kg,0.95,0.6931471805599453
127,2024-04-20,Papas precocinadas,Lácteos,1,3.15,u,3.15,0.6931471805599453
128,2024-07-05,Jamón,Carnes,2,0.9,kg,1.8,1.0986122886681098
129,2024-04-14,Bolsas,Panadería,3,0.35,u,1.05,1.3862943611198906
130,2023-08-16,Leche entera,Granos,3,5.0,u,15.0,1.3862943611198906
131,2023-03-03,Refresco,Carnes,6,0.45,u,2.7,1.9459101490553132
132,2023-11-27,Refresco,Carnes,2,0.45,u,0.9,1.0986122886681098
133,2023-12-18,Jamón,Carnes,4,0.9,kg,3.6,1.6094379124341003
134,2024-09-20,Refresco,Carnes,5,0.45,u,2.25,1.791759469228055
135,2023-08-06,Jamón,Carnes,3,0.9,kg,2.7,1.3862943611198906
136,2023-12-29,Bolsas,Panadería,4,0.35,u,1.4,1.6094379124341003
137,2023-04-29,Bolsas,Panadería,3,0.35,u,1.05,1.3862943611198906
138,2024-09-06,Yogurt,Bebidas,2,0.55,u,1.1,1.0986122886681098
139,2024-01-16,Leche entera,Granos,5,5.0,u,25.0,1.791759469228055
140,2023-04-21,Leche entera,Granos,2,5.0,u,10.0,1.0986122886681098
141,2024-07-01,Yogurt,Bebidas,4,0.55,u,2.2,1.6094379124341003
142,2024-08-25,Helado,Lácteos,2,1.1,u,2.2,1.0986122886681098
143,2023-04-28,Papas precocinadas,Lácteos,2,3.15,u,6.3,1.0986122886681098
144,2023-05-22,Helado,Lácteos,4,1.1,u,4.4,1.6094379124341003
145,2023-05-10,Papas precocinadas,Lácteos,1,3.15,u,3.15,0.6931471805599453
146,2023-05-09,Yogurt,Bebidas,2,0.55,u,1.1,1.0986122886681098
147,2024-04-17,Bolsas,Panadería,2,0.35,u,0.7,1.0986122886681098
148,2024-10-04,Pollo,Granos,1,0.95,kg,0.95,0.6931471805599453
149,2024-10-13,Bolsas,Panadería,2,0.35,u,0.7,1.0986122886681098
150,2023-04-10,Yogurt,Bebidas,3,0.55,u,1.65,1.3862943611198906
151,2023-05-23,Yogurt,Bebidas,1,0.55,u,0.55,0.6931471805599453
152,2024-10-18,Refresco,Carnes,4,0.45,u,1.8,1.6094379124341003
153,2024-08-17,Yogurt,Bebidas,5,0.55,u,2.75,1.791759469228055
154,2023-11-23,Carne molida,Aceites,5,0.8,kg,4.0,1.791759469228055
155,2024-01-16,Bolsas,Panadería,2,0.35,u,0.7,1.0986122886681098
156,2023-11-27,Bolsas,Panadería,2,0.35,u,0.7,1.0986122886681098
157,2023-07-13,Refresco,Carnes,1,0.45,u,0.45,0.6931471805599453
158,2024-06-11,Pasta de Tomate,Lácteos,1,1.5,u,1.5,0.6931471805599453
159,2023-05-14,Carne molida,Aceites,5,0.8,kg,4.0,1.791759469228055
160,2024-06-12,Leche entera,Granos,3,5.0,u,15.0,1.3862943611198906
161,2024-09-27,Yogurt,Bebidas,2,0.55,u,1.1,1.0986122886681098
162,2023-05-15,Pollo,Granos,2,0.95,kg,1.9,1.0986122886681098
163,2023-10-05,Helado,Lácteos,4,1.1,u,4.4,1.6094379124341003
164,2023-11-27,Helado,Lácteos,5,1.1,u,5.5,1.791759469228055
165,2024-02-21,Papas precocinadas,Lácteos,5,3.15,u,15.75,1.791759469228055
166,2023-11-06,Pollo,Granos,4,0.95,kg,3.8,1.6094379124341003
167,2023-12-17,Carne molida,Aceites,3,0.8,kg,2.4,1.3862943611198906
168,2024-05-22,Papas precocinadas,Lácteos,3,3.15,u,9.45,1.3862943611198906
169,2024-01-04,Helado,Lácteos,1,1.1,u,1.1,0.6931471805599453
170,2024-08-23,Yogurt,Bebidas,5,0.55,u,2.75,1.791759469228055
171,2024-09-18,Leche entera,Granos,3,5.0,u,15.0,1.3862943611198906
172,2023-06-15,Pasta de Tomate,Lácteos,6,1.5,u,9.0,1.9459101490553132
173,2023-11-26,Papas precocinadas,Lácteos,3,3.15,u,9.45,1.3862943611198906
174,2023-06-18,Pollo,Granos,1,0.95,kg,0.95,0.6931471805599453
175,2023-08-07,Helado,Lácteos,4,1.1,u,4.4,1.6094379124341003
176,2023-12-14,Pasta de Tomate,Lácteos,6,1.5,u,9.0,1.9459101490553132
177,2023-10-02,Yogurt,Bebidas,2,0.55,u,1.1,1.0986122886681098
178,2023-09-25,Carne molida,Aceites,1,0.8,kg,0.8,0.6931471805599453
179,2024-07-30,Pasta de Tomate,Lácteos,9,1.5,u,13.5,2.302585092994046
180,2023-11-13,Jamón,Carnes,2,0.9,kg,1.8,1.0986122886681098
181,2023-06-03,Leche entera,Granos,3,5.0,u,15.0,1.3862943611198906
182,2023-12-09,Refresco,Carnes,4,0.45,u,1.8,1.6094379124341003
183,2023-03-04,Leche entera,Granos,5,5.0,u,25.0,1.791759469228055
184,2023-07-12,Carne molida,Aceites,4,0.8,kg,3.2,1.6094379124341003
185,2023-08-13,Pasta de Tomate,Lácteos,1,1.5,u,1.5,0.6931471805599453
186,2024-09-15,Jamón,Carnes,1,0.9,kg,0.9,0.6931471805599453
187,2024-09-25,Refresco,Carnes,4,0.45,u,1.8,1.6094379124341003
188,2023-06-23,Leche entera,Granos,2,5.0,u,10.0,1.0986122886681098
189,2023-07-31,Pollo,Granos,3,0.95,kg,2.85,1.3862943611198906
190,2023-04-06,Helado,Lácteos,4,1.1,u,4.4,1.6094379124341003
191,2024-10-17,Carne molida,Aceites,6,0.8,kg,4.8,1.9459101490553132
192,2023-07-30,Helado,Lácteos,3,1.1,u,3.3,1.3862943611198906
193,2023-07-09,Refresco,Carnes,4,0.45,u,1.8,1.6094379124341003
194,2024-01-10,Leche entera,Granos,3,5.0,u,15.0,1.3862943611198906
195,2023-04-10,Carne molida,Aceites,1,0.8,kg,0.8,0.6931471805599453
196,2023-10-02,Carne molida,Aceites,1,0.8,kg,0.8,0.6931471805599453
197,2023-06-14,Bolsas,Panadería,2,0.35,u,0.7,1.0986122886681098
198,2024-09-24,Carne molida,Aceites,2,0.8,kg,1.6,1.0986122886681098
199,2024-11-25,Refresco,Carnes,4,0.45,u,1.8,1.6094379124341003
200,2023-10-29,Papas precocinadas,Lácteos,2,3.15,u,6.3,1.0986122886681098
201,2023-08-29,Papas precocinadas,Lácteos,1,3.15,u,3.15,0.6931471805599453
202,2023-03-26,Refresco,Carnes,2,0.45,u,0.9,1.0986122886681098
203,2024-02-04,Papas precocinadas,Lácteos,2,3.15,u,6.3,1.0986122886681098
204,2023-11-10,Refresco,Carnes,1,0.45,u,0.45,0.6931471805599453
205,2023-08-11,Pasta de Tomate,Lácteos,2,1.5,u,3.0,1.0986122886681098
206,2024-03-26,Pollo,Granos,3,0.95,kg,2.85,1.3862943611198906
207,2024-06-24,Leche entera,Granos,1,5.0,u,5.0,0.6931471805599453
208,2023-09-21,Bolsas,Panadería,3,0.35,u,1.05,1.3862943611198906
209,2024-02-22,Jamón,Carnes,3,0.9,kg,2.7,1.3862943611198906
210,2023-10-20,Pasta de Tomate,Lácteos,4,1.5,u,6.0,1.6094379124341003
211,2023-03-25,Bolsas,Panadería,2,0.35,u,0.7,1.0986122886681098
212,2024-04-12,Bolsas,Panadería,3,0.35,u,1.05,1.3862943611198906
213,2023-12-11,Carne molida,Aceites,3,0.8,kg,2.4,1.3862943611198906
214,2023-12-11,Pollo,Granos,4,0.95,kg,3.8,1.6094379124341003
215,2024-08-03,Carne molida,Aceites,2,0.8,kg,1.6,1.0986122886681098
216,2024-08-31,Refresco,Carnes,3,0.45,u,1.35,1.3862943611198906
217,2023-03-29,Carne molida,Aceites,2,0.8,kg,1.6,1.0986122886681098
218,2023-11-23,Pollo,Granos,1,0.95,kg,0.95,0.6931471805599453
219,2024-10-15,Papas precocinadas,Lácteos,2,3.15,u,6.3,1.0986122886681098
220,2023-04-09,Pasta de Tomate,Lácteos,2,1.5,u,3.0,1.0986122886681098
221,2024-10-31,Pollo,Granos,6,0.95,kg,5.7,1.9459101490553132
222,2024-02-17,Refresco,Carnes,4,0.45,u,1.8,1.6094379124341003
223,2024-05-20,Carne molida,Aceites,1,0.8,kg,0.8,0.6931471805599453
224,2024-08-05,Yogurt,Bebidas,2,0.55,u,1.1,1.0986122886681098
225,2024-03-29,Pollo,Granos,3,0.95,kg,2.85,1.3862943611198906
226,2023-09-11,Yogurt,Bebidas,4,0.55,u,2.2,1.6094379124341003
227,2023-04-15,Pasta de Tomate,Lácteos,2,1.5,u,3.0,1.0986122886681098
228,2023-03-02,Refresco,Carnes,2,0.45,u,0.9,1.0986122886681098
229,2024-09-02,Helado,Lácteos,2,1.1,u,2.2,1.0986122886681098
230,2024-03-07,Bolsas,Panadería,2,0.35,u,0.7,1.0986122886681098
231,2023-05-11,Refresco,Carnes,4,0.45,u,1.8,1.6094379124341003
232,2024-11-28,Carne molida,Aceites,5,0.8,kg,4.0,1.791759469228055
233,2023-07-06,Carne molida,Aceites,2,0.8,kg,1.6,1.0986122886681098
234,2024-08-01,Pasta de Tomate,Lácteos,4,1.5,u,6.0,1.6094379124341003
235,2024-04-22,Pasta de Tomate,Lácteos,3,1.5,u,4.5,1.3862943611198906
236,2024-04-16,Carne molida,Aceites,3,0.8,kg,2.4,1.3862943611198906
237,2024-09-18,Pasta de Tomate,Lácteos,1,1.5,u,1.5,0.6931471805599453
238,2023-09-13,Papas precocinadas,Lácteos,3,3.15,u,9.45,1.3862943611198906
239,2024-03-23,Refresco,Carnes,2,0.45,u,0.9,1.0986122886681098
240,2024-11-20,Papas precocinadas,Lácteos,2,3.15,u,6.3,1.0986122886681098
241,2024-01-03,Yogurt,Bebidas,2,0.55,u,1.1,1.0986122886681098
242,2024-09-12,Refresco,Carnes,1,0.45,u,0.45,0.6931471805599453
243,2024-01-06,Leche entera,Granos,4,5.0,u,20.0,1.6094379124341003
244,2023-10-02,Pasta de Tomate,Lácteos,5,1.5,u,7.5,1.791759469228055
245,2024-10-14,Refresco,Carnes,5,0.45,u,2.25,1.791759469228055
246,2024-01-24,Yogurt,Bebidas,3,0.55,u,1.65,1.3862943611198906
247,2024-05-26,Jamón,Carnes,1,0.9,kg,0.9,0.6931471805599453
248,2023-10-05,Jamón,Carnes,4,0.9,kg,3.6,1.6094379124341003
249,2024-06-27,Helado,Lácteos,3,1.1,u,3.3,1.3862943611198906
250,2023-05-26,Papas precocinadas,Lácteos,2,3.15,u,6.3,1.0986122886681098
251,2024-08-09,Pasta de Tomate,Lácteos,3,1.5,u,4.5,1.3862943611198906
252,2024-02-07,Yogurt,Bebidas,4,0.55,u,2.2,1.6094379124341003
253,2023-10-27,Pollo,Granos,3,0.95,kg,2.85,1.3862943611198906
254,2023-10-17,Pasta de Tomate,Lácteos,3,1.5,u,4.5,1.3862943611198906
255,2023-07-29,Bolsas,Panadería,5,0.35,u,1.75,1.791759469228055
256,2023-04-17,Leche entera,Granos,1,5.0,u,5.0,0.6931471805599453
257,2024-06-29,Bolsas,Panadería,4,0.35,u,1.4,1.6094379124341003
258,2023-05-14,Yogurt,Bebidas,6,0.55,u,3.3,1.9459101490553132
259,2024-04-28,Jamón,Carnes,2,0.9,kg,1.8,1.0986122886681098
260,2023-09-16,Yogurt,Bebidas,2,0.55,u,1.1,1.0986122886681098
261,2024-07-19,Refresco,Carnes,4,0.45,u,1.8,1.6094379124341003
262,2023-11-05,Refresco,Carnes,2,0.45,u,0.9,1.0986122886681098
263,2023-03-06,Papas precocinadas,Lácteos,2,3.15,u,6.3,1.0986122886681098
264,2024-05-09,Pollo,Granos,3,0.95,kg,2.85,1.3862943611198906
265,2023-08-28,Bolsas,Panadería,3,0.35,u,1.05,1.3862943611198906
266,2024-06-18,Helado,Lácteos,4,1.1,u,4.4,1.6094379124341003
267,2024-09-21,Leche entera,Granos,2,5.0,u,10.0,1.0986122886681098
268,2023-07-03,Bolsas,Panadería,4,0.35,u,1.4,1.6094379124341003
269,2023-07-15,Jamón,Carnes,3,0.9,kg,2.7,1.3862943611198906
270,2024-08-25,Jamón,Carnes,3,0.9,kg,2.7,1.3862943611198906
271,2024-10-30,Helado,Lácteos,7,1.1,u,7.7,2.0794415416798357
272,2024-05-27,Carne molida,Aceites,4,0.8,kg,3.2,1.6094379124341003
273,2024-07-29,Yogurt,Bebidas,4,0.55,u,2.2,1.6094379124341003
274,2024-09-12,Refresco,Carnes,3,0.45,u,1.35,1.3862943611198906
275,2023-08-10,Jamón,Carnes,5,0.9,kg,4.5,1.791759469228055
276,2024-06-03,Jamón,Carnes,1,0.9,kg,0.9,0.6931471805599453
277,2023-11-09,Pasta de Tomate,Lácteos,3,1.5,u,4.5,1.3862943611198906
278,2024-08-15,Pasta de Tomate,Lácteos,2,1.5,u,3.0,1.0986122886681098
279,2024-12-01,Jamón,Carnes,4,0.9,kg,3.6,1.6094379124341003
280,2023-12-07,Bolsas,Panadería,3,0.35,u,1.05,1.3862943611198906
281,2023-05-19,Jamón,Carnes,2,0.9,kg,1.8,1.0986122886681098
282,2023-10-27,Pasta de Tomate,Lácteos,2,1.5,u,3.0,1.0986122886681098
283,2024-02-07,Pasta de Tomate,Lácteos,4,1.5,u,6.0,1.6094379124341003
284,2024-09-04,Carne molida,Aceites,2,0.8,kg,1.6,1.0986122886681098
285,2023-07-20,Pollo,Granos,2,0.95,kg,1.9,1.0986122886681098
286,2023-10-23,Papas precocinadas,Lácteos,3,3.15,u,9.45,1.3862943611198906
287,2023-08-04,Refresco,Carnes,1,0.45,u,0.45,0.6931471805599453
288,2023-05-05,Bolsas,Panadería,4,0.35,u,1.4,1.6094379124341003
289,2024-04-21,Refresco,Carnes,4,0.45,u,1.8,1.6094379124341003
290,2024-09-06,Carne molida,Aceites,2,0.8,kg,1.6,1.0986122886681098
291,2024-04-29,Jamón,Carnes,3,0.9,kg,2.7,1.3862943611198906
292,2023-09-28,Leche entera,Granos,4,5.0,u,20.0,1.6094379124341003
293,2024-04-02,Refresco,Carnes,3,0.45,u,1.35,1.3862943611198906
294,2023-03-21,Yogurt,Bebidas,4,0.55,u,2.2,1.6094379124341003
295,2024-03-24,Yogurt,Bebidas,3,0.55,u,1.65,1.3862943611198906
296,2023-03-07,Jamón,Carnes,1,0.9,kg,0.9,0.6931471805599453
297,2023-12-31,Carne molida,Aceites,2,0.8,kg,1.6,1.0986122886681098
298,2024-05-03,Refresco,Carnes,2,0.45,u,0.9,1.0986122886681098
299,2024-09-10,Helado,Lácteos,2,1.1,u,2.2,1.0986122886681098
300,2023-10-12,Yogurt,Bebidas,2,0.55,u,1.1,1.0986122886681098
301,2023-10-11,Jamón,Carnes,1,0.9,kg,0.9,0.6931471805599453
302,2024-05-20,Pasta de Tomate,Lácteos,3,1.5,u,4.5,1.3862943611198906
303,2023-03-30,Jamón,Carnes,2,0.9,kg,1.8,1.0986122886681098
304,2024-02-08,Refresco,Carnes,4,0.45,u,1.8,1.6094379124341003
305,2023-08-17,Refresco,Carnes,3,0.45,u,1.35,1.3862943611198906
306,2023-07-09,Jamón,Carnes,3,0.9,kg,2.7,1.3862943611198906
307,2024-08-28,Yogurt,Bebidas,1,0.55,u,0.55,0.6931471805599453
308,2024-04-07,Leche entera,Granos,2,5.0,u,10.0,1.0986122886681098
309,2024-09-28,Yogurt,Bebidas,2,0.55,u,1.1,1.0986122886681098
310,2023-05-25,Leche entera,Granos,4,5.0,u,20.0,1.6094379124341003
311,2023-07-17,Refresco,Carnes,2,0.45,u,0.9,1.0986122886681098
312,2023-09-03,Jamón,Carnes,3,0.9,kg,2.7,1.3862943611198906
313,2023-11-22,Leche entera,Granos,3,5.0,u,15.0,1.3862943611198906
314,2024-01-30,Refresco,Carnes,4,0.45,u,1.8,1.6094379124341003
315,2024-06-08,Bolsas,Panadería,5,0.35,u,1.75,1.791759469228055
316,2024-02-09,Carne molida,Aceites,1,0.8,kg,0.8,0.6931471805599453
317,2023-12-10,Refresco,Carnes,3,0.45,u,1.35,1.3862943611198906
318,2023-11-14,Refresco,Carnes,2,0.45,u,0.9,1.0986122886681098
319,2024-06-24,Pollo,Granos,4,0.95,kg,3.8,1.6094379124341003
320,2024-09-03,Leche entera,Granos,2,5.0,u,10.0,1.0986122886681098
321,2024-02-22,Leche entera,Granos,2,5.0,u,10.0,1.0986122886681098
322,2023-05-10,Bolsas,Panadería,3,0.35,u,1.05,1.3862943611198906
323,2023-04-01,Leche entera,Granos,3,5.0,u,15.0,1.3862943611198906
324,2023-09-21,Bolsas,Panadería,1,0.35,u,0.35,0.6931471805599453
325,2024-11-26,Leche entera,Granos,2,5.0,u,10.0,1.0986122886681098
326,2023-10-31,Papas precocinadas,Lácteos,5,3.15,u,15.75,1.791759469228055
327,2024-06-27,Papas precocinadas,Lácteos,4,3.15,u,12.6,1.6094379124341003
328,2024-09-28,Pollo,Granos,1,0.95,kg,0.95,0.6931471805599453
329,2024-06-19,Bolsas,Panadería,2,0.35,u,0.7,1.0986122886681098
330,2024-03-12,Pasta de Tomate,Lácteos,1,1.5,u,1.5,0.6931471805599453
331,2024-11-10,Papas precocinadas,Lácteos,3,3.15,u,9.45,1.3862943611198906
332,2023-06-26,Yogurt,Bebidas,2,0.55,u,1.1,1.0986122886681098
333,2024-01-13,Papas precocinadas,Lácteos,3,3.15,u,9.45,1.3862943611198906
334,2024-10-13,Pollo,Granos,5,0.95,kg,4.75,1.791759469228055
